timestamp,ball,lon,lat,ball_speed_mps,ball_direction_deg,timestamp_utc8,ship_id,ship_lon_interpolated,ship_lat_interpolated,ship_s_interpolated,distance_to_test_point_km,ship_orig_shipTypeCode,ship_orig_navStatus,ship_orig_latestPortStatus,ship_orig_lengthBow,ship_orig_lengthStern,ship_orig_breadthPort,ship_orig_breadthStarboard,ship_orig_y,ship_orig_c,ship_orig_e,ship_orig_f,ship_orig_p,ship_orig_b,ship_orig_d,ship_orig_h,ship_orig_j,ship_orig_v,ship_orig_r,ship_orig_l,ship_orig_m,ship_orig_timestamp_utc8,ship_orig_lon_ship,ship_orig_lat_ship,ship_orig_t_unix,ship_orig_i,corrected_final_total_dBA
2025-06-04 04:37:51+00:00,6,114.292107,30.565279,1.427506071,29.66570195,2025-06-04 12:37:51+08:00,62277,114.3065328,30.58490935,58,2.578956509,B01,SAIL_NORMAL,1,75,11,7,8,70,302,WAN HAI SHUN 9998,CHN,WUHU,15,43,,,,1/10/1931 10:04,86,413830273,2025-06-04 12:37:57+08:00,114.3066267,30.58505,1749011877,62277,86.74171609
2025-06-04 04:37:51+00:00,6,114.292107,30.565279,1.427506071,29.66570195,2025-06-04 12:37:51+08:00,127786,114.2980522,30.57931739,31,1.657528889,B01,SAIL_SLOW,1,100,29,10,11,70,2074,YU XIN HUO 19333,CHN,YUE YANG,21,63,207,,,6/6/2025 8:00,129,413971693,2025-06-04 12:37:45+08:00,114.2981,30.5794,1749011865,127786,86.74171609
2025-06-04 04:37:51+00:00,6,114.292107,30.565279,1.427506071,29.66570195,2025-06-04 12:37:51+08:00,175219,114.2824764,30.5547941,28.91803279,1.484860501,B01,SAIL_SLOW,2,63,20,7,7,70,2117,LIANSHENG298,CHN,"A1_, !B99",14,17,0,,,11/8/2025 4:30,83,413996093,2025-06-04 12:38:19+08:00,114.28225,30.55446667,1749011899,175219,86.74171609
2025-06-04 04:37:51+00:00,6,114.292107,30.565279,1.427506071,29.66570195,2025-06-04 12:37:51+08:00,216707,114.304272,30.588557,32,2.832213002,B01,SAIL_SLOW,1,40,10,5,4,70,2149,YUZHOUKOUHUO8808,CHN,YUEYANG,9,30,,,,12/3/2025 13:16,50,413827134,2025-06-04 12:37:42+08:00,114.30436,30.58867,1749011862,216707,86.74171609
2025-06-04 04:37:51+00:00,6,114.292107,30.565279,1.427506071,29.66570195,2025-06-04 12:37:51+08:00,283005,114.2981354,30.5829754,5.204923077,2.04531239,H00,SAIL_SLOW,1,20,13,3,4,54,2182,HUAXINGBAOJIE88HAO,CHN,WU HAN,7,0,0,,,3/7/2025 10:42,33,413828862,2025-06-04 12:28:57+08:00,114.2981733,30.58309333,1749011337,283005,86.74171609
2025-06-04 04:37:51+00:00,6,114.292107,30.565279,1.427506071,29.66570195,2025-06-04 12:37:51+08:00,295869,114.2900682,30.56132106,62.81818182,0.480406797,B01,SAIL_NORMAL,1,95,15,5,14,70,309,HAINIU11,CHN,JINGJIANG,19,42,,,,6/6/2025 8:23,110,413774857,2025-06-04 12:37:49+08:00,114.2900333,30.56127167,1749011869,295869,86.74171609
2025-06-04 04:37:51+00:00,6,114.292107,30.565279,1.427506071,29.66570195,2025-06-04 12:37:51+08:00,335412,114.2857899,30.56004882,30,0.838743921,B01,SAIL_SLOW,1,80,12,8,8,70,2106,JIANG YU JI SHUN,CHN,NANJING,16,36,,,,3/5/2025 18:00,92,413816488,2025-06-04 12:37:49+08:00,114.285805,30.56007333,1749011869,335412,86.74171609
2025-06-04 04:37:51+00:00,6,114.292107,30.565279,1.427506071,29.66570195,2025-06-04 12:37:51+08:00,923742,114.3021167,30.57911123,59,1.809290169,B01,SAIL_NORMAL,1,100,36,10,13,70,303,YUHANGYONGSHUN,CHN,YUE YANG,23,45,,,,1/10/2017 20:01,136,413830289,2025-06-04 12:37:52+08:00,114.3021333,30.57913667,1749011872,923742,86.74171609
2025-06-04 04:37:51+00:00,6,114.292107,30.565279,1.427506071,29.66570195,2025-06-04 12:37:51+08:00,1056242,114.3007823,30.57578079,65.31578947,1.431105549,B01,SAIL_NORMAL,1,60,28,8,8,70,319,HENGYANGYUANJIN1638,CHN,TAIZHOU,16,44,,,0,6/7/2025 8:00,88,413864675,2025-06-04 12:37:45+08:00,114.3006633,30.575615,1749011865,1056242,86.74171609
2025-06-04 04:37:51+00:00,6,114.292107,30.565279,1.427506071,29.66570195,2025-06-04 12:37:51+08:00,2228882,114.2943258,30.5679225,60,0.362209791,H00,SAIL_NORMAL,1,5,63,7,7,70,325,ZHEN HANG JI 989,CHN,YUEYANG,14,18,32,0,0,6/1/2025 14:00,68,413841928,2025-06-04 12:37:56+08:00,114.2944117,30.56804,1749011876,2228882,86.74171609
